komoditas,harga,satuan,lokasi,tanggal,sumber
Beras Kualitas Bawah I,14000,per kg,Kota Malang,2026-05-13,BI.go.id
Beras Kualitas Bawah II,13050,per kg,Kota Malang,2026-05-13,BI.go.id
Beras Kualitas Medium I,15350,per kg,Kota Malang,2026-05-13,BI.go.id
Beras Kualitas Medium II,15100,per kg,Kota Malang,2026-05-13,BI.go.id
Beras Kualitas Super I,16000,per kg,Kota Malang,2026-05-13,BI.go.id
Beras Kualitas Super II,15750,per kg,Kota Malang,2026-05-13,BI.go.id
Daging Ayam Ras Segar,35250,per kg,Kota Malang,2026-05-13,BI.go.id
Daging Sapi Kualitas 1,142500,per kg,Kota Malang,2026-05-13,BI.go.id
Daging Sapi Kualitas 2,135000,per kg,Kota Malang,2026-05-13,BI.go.id
Telur Ayam Ras Segar,25000,per kg,Kota Malang,2026-05-13,BI.go.id
Bawang Merah Ukuran Sedang,48750,per kg,Kota Malang,2026-05-13,BI.go.id
Bawang Putih Ukuran Sedang,30500,per kg,Kota Malang,2026-05-13,BI.go.id
Cabai Merah Besar,55000,per kg,Kota Malang,2026-05-13,BI.go.id
Cabai Merah Keriting,50000,per kg,Kota Malang,2026-05-13,BI.go.id
Cabai Rawit Hijau,48250,per kg,Kota Malang,2026-05-13,BI.go.id
Cabai Rawit Merah,61250,per kg,Kota Malang,2026-05-13,BI.go.id
Minyak Goreng Curah,22500,per kg,Kota Malang,2026-05-13,BI.go.id
Minyak Goreng Kemasan Bermerk 1,22500,per kg,Kota Malang,2026-05-13,BI.go.id
Minyak Goreng Kemasan Bermerk 2,22000,per kg,Kota Malang,2026-05-13,BI.go.id
Gula Pasir Kualitas Premium,18000,per kg,Kota Malang,2026-05-13,BI.go.id
Gula Pasir Lokal,17000,per kg,Kota Malang,2026-05-13,BI.go.id
